"id","type","level","title","description","speakers","venue","dayTime","services","tags","url"
"DVT208","Breakout session","200","Epic journey: Navigating the AI-powered SDLC from backlog to production","Developers, join an epic journey as we follow a humble backlog item through the winding path of the software development lifecycle from user story to deployment. Most developers spend less than an hour per day writing code. So why do focus so much attention on using AI to write code faster? In this session you will learn how Amazon Q Developer can help you with every stage of the SDLC.","Doug Clauson; Ali Maaz; Manikandan Srinivasan; Ricardo Britto","Mandalay Bay","Wednesday 16:30 - 17:30","Amazon Q Developer","Agentic AI; DevOps; Artificial Intelligence; Developer Tools; Developer / Engineer; DevOps Engineer; Lecture-style","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399785259001KqIe"
"DVT402-R","Workshop","400","Game on: build a retro adventure game in 120 minutes [REPEAT]","Escape the conference hustle! Join us for a fun-filled session where you'll create your own retro-style adventure game. Whether you're a coding novice or seasoned dev, you'll leave with a playable game and plenty of laughs. We'll use modern developer tools like Kiro to make game development a breeze. Bring your imagination and a laptop!","Keerthi Konjety; Megan Sattler","Caesars Forum","Tuesday 12:00 - 14:00","Kiro","Agentic AI; DevOps; Artificial Intelligence; Developer Tools; Developer / Engineer; DevOps Engineer; Hands-on; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399787081001KcyV"
"DVT402-R1","Workshop","400","Game on: build a retro adventure game in 120 minutes [REPEAT]","Escape the conference hustle! Join us for a fun-filled session where you'll create your own retro-style adventure game. Whether you're a coding novice or seasoned dev, you'll leave with a playable game and plenty of laughs. We'll use modern developer tools like Kiro to make game development a breeze. Bring your imagination and a laptop!","Keerthi Konjety; Megan Sattler","MGM","Thursday 12:30 - 14:30","Kiro","Agentic AI; DevOps; Artificial Intelligence; Developer Tools; Developer / Engineer; DevOps Engineer; Hands-on; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399787212001K8BT"
"GHJ201","Gamified learning","200","Generative AI Architecture Rodeo","Ready for a high stakes architectural challenge? The challenge: design a production ready system using AWS Generative AI services to ingest and process millions of multilingual documents spanning invoices, purchase orders, financial statements and more. Your solution must minimize hallucinations, meet strict privacy requirements, and deliver an end-to-end pipeline for validation and processing by integrating with various enterprise systems. Learn how to boost inference, enforce governance, ensure resiliency, and optimize costs in globally compliant architectures. Teams will be formed onsite, where AWS Subject matter experts will guide you through a gamified live challenge to design and build solutions where trade-offs deciding the ultimate Rodeo championship team.","Amit Borulkar; Avichal Chum","MGM","Tuesday 15:30 - 17:30","Amazon Bedrock; Amazon SageMaker; Amazon Textract","Business Intelligence; Generative AI; Agentic AI; Architecture; Artificial Intelligence; Business Applications; Data Engineer; IT Professional / Technical Manager; Solution / Systems Architect; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1755023385992001loQS"
"ANT303","Chalk talk","300","Implement data pipelines for analytics using SageMaker Unified Studio","Breaking down data silos and unifying data across numerous data sources is a challenging task. AWS is changing the future of analytics with zero-ETL data integration and query federation across different sources, services, applications, and multi-cloud environments. Join us to dive deep into how AWS zero-ETL approaches can help you simplify your data integration landscape.  Find out how you can perform analytics and machine learning without moving or transforming your data.","Hugo Mineiro; Chinmayi Narasimhadevara","MGM","Thursday 14:00 - 15:00","Amazon SageMaker; AWS Glue; Amazon SageMaker AI","Innovation & Transformation; Automation; Analytics; Data Engineer; Data Scientist; Developer / Engineer; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399547385001T0F4"
"DVT201-R","Builders' session","200","Learn new development skills with Kiro [REPEAT]","Discover Kiro, your IDE build from the ground-up to seamlessly integrate AI agents into the development workflow. In this builder’s session, explore how to use Kiro as your intelligent partner - helping to understand complex codebases, crystalize detailed requirements, and deliver quality solutions at unprecedented speed. You will iterate with Kiro to finalize your detailed design, before using Kiro to orchestrate AI agents and implement a fully working solution – all while maintaining complete control throughout the development process. You must bring a laptop to participate in this session.","Mirabela Dan; Raheel Maqsood; Rafael Ramos; Simon Rawlings; Ronald Teijeira Fernandez","Mandalay Bay","Monday 13:00 - 14:00","","Agentic AI; DevOps; Artificial Intelligence; Developer Tools; Developer / Engineer; DevOps Engineer; Hands-on; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399787378001K6RC"
"DVT201-R1","Builders' session","200","Learn new development skills with Kiro [REPEAT]","Discover Kiro, your IDE build from the ground-up to seamlessly integrate AI agents into the development workflow. In this builder’s session, explore how to use Kiro as your intelligent partner - helping to understand complex codebases, crystalize detailed requirements, and deliver quality solutions at unprecedented speed. You will iterate with Kiro to finalize your detailed design, before using Kiro to orchestrate AI agents and implement a fully working solution – all while maintaining complete control throughout the development process. You must bring a laptop to participate in this session.","Mirabela Dan; Raheel Maqsood; Rafael Ramos; Simon Rawlings; Ronald Teijeira Fernandez","MGM","Wednesday 11:30 - 12:30","","Agentic AI; DevOps; Artificial Intelligence; Developer Tools; Developer / Engineer; DevOps Engineer; Hands-on; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399787658001KE8E"
"DVT310","Chalk talk","300","Mastering automated, zero-downtime software deployments","Unlock the power of seamless, risk-free deployments with this insightful chalk talk. Discover how to leverage AWS services like AWS CodePipeline, AWS CodeBuild, and AWS AppConfig to automate safe, hands-off deployments to Amazon EC2, Amazon ECS, and AWS Lambda across multiple accounts and Regions at scale. Explore zero-downtime deployment strategies and learn best practices for reducing risk when deploying to AWS. Whether you’re a seasoned DevOps professional or just starting your cloud journey, this talk equips you with the tools and techniques to streamline your deployment processes, ensuring reliability and minimizing disruptions.","Steven Guggenheimer; Ben Shumpert","MGM","Monday 10:00 - 11:00","AWS AppConfig; AWS CodeBuild; AWS CodePipeline","DevSecOps; DevOps; Developer Tools; Developer / Engineer; DevOps Engineer; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399785925001K1bQ"
"IND3304","Breakout session","300","Maximizing uptime: Itaú’s mission-critical mainframe migration to AWS","Dive deep into Itaú Bank's implementation for migrating core banking authorization from mainframe to AWS, targeting 1,000 TPS per account with sub-100ms latency. As one of Latin America's largest banks serving 98 million clients and processing 100 million daily transactions, Itaú will share advanced Amazon DynamoDB optimization strategies, partitioning patterns, and anti-patterns. Learn practical solutions for managing concurrent transactions through exclusive threading models, cell-based architecture with account sharding, and distributed consistency approaches for high-volume financial workloads. We'll examine techniques for maintaining 99.99% uptime while ensuring transaction accuracy and balance consistency, and explore parallel system validation strategies for seamless migration execution.","Eduardo Bortoluzzi; Edinei Piovesan; Wilson de Oliveira","MGM","Wednesday 13:00 - 14:00","Amazon DynamoDB; Amazon Simple Queue Service (Amazon SQS)","Resilience; Customer Enablement; Architecture; Data Engineer; IT Professional / Technical Manager; Solution / Systems Architect; Financial Services; Developer Community; Lecture-style","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399791653001K01i"
"DVT306","Workshop","300","Modernize CI/CD with GitHub and AWS CodePipeline","In this workshop, learn how to build modern continuous integration and continuous delivery (CI/CD) pipelines using GitHub and AWS CodePipeline through the AWS Management Console. Learn how to work with monorepos and branching strategies. Explore advanced features such as automatic rollbacks, pipeline parameters, stage level conditions, and concurrent execution modes to improve your pipeline performance. You must bring your laptop to participate.","Robert Bradley; Chris Williams","Mandalay Bay","Monday 08:30 - 10:30","AWS CodePipeline","DevOps; Developer Tools; Developer / Engineer; DevOps Engineer; Hands-on; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399786876001Ko0g"
"DVT312","Chalk talk","300","Multi-account and multi-region deployments at scale","Many AWS customers are implementing multi-account strategies to more easily manage their cloud infrastructure and improve their security and compliance postures. In this chalk talk, learn about various options for deploying resources into multiple accounts and AWS regions using various tools.","James Bland; Shivansh Singh","Mandalay Bay","Monday 16:00 - 17:00","","DevOps; Developer Tools; Developer / Engineer; DevOps Engineer; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399786013001K3yz"
"NTA407","Code talk","400","Multi-Agent Collaboration with Amazon Bedrock Agentcore for Advanced SecOps","In this code talk session, we'll explore how multi-agent collaboration powered by Amazon Bedrock Agentcore transforms security and vulnerability management for SecOps teams. We'll demonstrate how specialized agents working in concert can automate vulnerability assessment and building remediation patches using AgenticAI. Through practical code examples, we'll show how to architect a resilient security system where agents share context on vulnerabilities, identified servers that are potentially impacted and create remediation artifacts to deploy the changes. Join us to learn how this approach reduces response times, improves threat intelligence, and creates a more robust security posture through intelligent agent orchestration.","Venkata Moparthi","MGM","Thursday 12:30 - 13:30","Amazon Bedrock","Generative AI; DevSecOps; Agentic AI; Artificial Intelligence; Developer Tools; Security & Identity; Developer / Engineer; DevOps Engineer; Solution / Systems Architect; Financial Services; Healthcare & Life Sciences; Manufacturing & Industrial; New to AWS; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1756276829891001W72P"
"DVT301-R","Builders' session","300","Reduce development cycles with Amazon Q Developer and GitHub [REPEAT]","Learn how combining GitHub with Amazon Q Developer can maximize development efficiency. In this builder session, learn how to automatically build features, implement bug fixes, increase test coverage, generate documentation and provide immediate feedback on code quality. Join this talk to learn how GitHub with Q Developer can take your development processes to the next level.","Madhu Balaji; Brent Everman; Harvinder Nagpal; Garrett Pollard; Sam Schonstal","MGM","Monday 17:30 - 18:30","Amazon Q Developer","Generative AI; DevOps; Developer Tools; Developer / Engineer; DevOps Engineer; Hands-on; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399787292001Kx32"
"DVT301-R1","Builders' session","300","Reduce development cycles with Amazon Q Developer and GitHub [REPEAT]","Learn how combining GitHub with Amazon Q Developer can maximize development efficiency. In this builder session, learn how to automatically build features, implement bug fixes, increase test coverage, generate documentation and provide immediate feedback on code quality. Join this talk to learn how GitHub with Q Developer can take your development processes to the next level.","Madhu Balaji; Brent Everman; Harvinder Nagpal; Garrett Pollard; Sam Schonstal","Mandalay Bay","Tuesday 16:00 - 17:00","Amazon Q Developer","Generative AI; DevOps; Developer Tools; Developer / Engineer; DevOps Engineer; Hands-on; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399787614001KaMV"
"DVT313","Chalk talk","300","Simplify cloud infrastructure creation with the AWS CDK","AWS Cloud Development Kit (AWS CDK) is an open source software development framework for defining cloud infrastructure in code and provisioning it through AWS CloudFormation. In this chalk talk, we’ll explore AWS CDK and how it can simplify infrastructure creation. Through code examples and diagrams, see how AWS CDK lets you use familiar programming languages for declarative infrastructure definition. Learn about the levels of the CDK constructs and how to use powerful higher-level abstractions to provision complex application architecture.","Michael Kaiser; Momo Kornher","Mandalay Bay","Monday 17:30 - 18:30","AWS CloudFormation","DevOps; Developer Tools; Developer / Engineer; DevOps Engineer; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399786094001KzKp"
"DVT318","Workshop","300","Test your web and mobile applications with AWS Device Farm","AWS Device Farm is an application testing service that helps you improve the quality of your web and mobile applications by testing them across an extensive range of desktop browsers and real mobile devices without having to provision and manage any testing infrastructure. This workshop provides hands-on guidance for software engineers, quality assurance engineers, software testers, platform engineers, and architects on how to get started using Device Farm to test your applications hosted in the AWS Cloud. You must bring your laptop to participate.","Nikhil Dabhade; Nishant Dhiman","MGM","Thursday 15:30 - 17:30","","Front-End Web & Mobile; Innovation & Transformation; Cloud Operations; Developer Tools; Developer / Engineer; DevOps Engineer; Hands-on; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399787253001K8Jr"
"DVT314","Chalk talk","300","Top Tips for Getting the Most Out of AWS CloudFormation","AWS CloudFormation helps you manage your AWS infrastructure as code, increasing automation and supporting infrastructure-as-code best practices. In this chalk talk, we dive deep into the topic of optimizing your experience with AWS CloudFormation. Learn about several more recently added capabilities and best practices designed to improve productivity and accelerate your dev/test cycle for rapid infrastructure-as-code development. Whether you're a seasoned DevOps professional or earlier in your AWS CloudFormation journey, this session will equip you with new tools and techniques to streamline your deployment processes.","Kevin DeJong; Kawsar Kamal; Momo Kornher","MGM","Monday 08:30 - 09:30","AWS CloudFormation","DevOps; Developer Tools; Developer / Engineer; DevOps Engineer; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399786054001KtPn"
"DVT204","Breakout session","200","What’s new in fullstack AWS app development","Web developers need to deliver differentiating experiences to more users faster than ever before. To build secure, reliable, and scalable applications at 10x speed requires solutions that empower developers to get started easily, ship quickly, and iterate rapidly. In this breakout, we'll share exciting updates on how AWS Amplify is evolving to meet the needs of modern 10x web developers.","Matt Auerbach","Mandalay Bay","Monday 12:00 - 13:00","","Front-End Web & Mobile; Serverless; Developer Tools; Serverless & Containers; Developer / Engineer; DevOps Engineer; Lecture-style","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399785212001K9ou"
"MAM317","Chalk talk","300",".NET cloud journey: Migration & modernization strategies","Join this interactive chalk talk to explore proven strategies for migrating and modernizing .NET applications on AWS. We'll sketch architectural patterns ranging from Windows rehosting to cloud-native transformations using containers and serverless. Navigate the AWS service landscape for different .NET workloads through real-world examples that balance performance, scalability, and cost. Come prepared with your questions — we'll collaboratively design AWS architectures based on your requirements.","Dror Helper; Baruch Waknine","MGM","Wednesday 10:00 - 11:00","Amazon Elastic Compute Cloud (Amazon EC2); Amazon Elastic Container Service (Amazon ECS); Amazon Elastic Kubernetes Service (Amazon EKS)","Microsoft & .NET; Containers; Migration & Modernization; Developer / Engineer; DevOps Engineer; Solution / Systems Architect; Interactive","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399797473001K264"
"MAM201","Breakout session","200","A complete guide to Amazon EVS: Unlock AWS scale for VMware workloads","Amazon Elastic VMware Service (Amazon EVS) is your fastest path to run VMware workloads on AWS, eliminating the need to replatform or refactor. Discover how Amazon EVS helps you unlock AWS scale and agility while maximizing existing VMware investments and skillsets. Explore core building blocks and guidance on self-managing or leveraging AWS Partners for your environments. We'll cover strategies for customizing your virtualization stack in the cloud, including integration with storage, backup, and disaster recovery solutions. Through a live demo, we'll showcase intuitive deployment workflows and share the latest service innovations to provide you with more choice and flexibility.","Aarthi Raju; Andy Reedy","MGM","Tuesday 13:30 - 14:30","Amazon FSx for NetApp ONTAP; Amazon Virtual Private Cloud (Amazon VPC); Amazon Elastic VMware Service (EVS)","Disaster Response & Recovery; VMware; Migration & Modernization; IT Administrator; IT Professional / Technical Manager; System Administrator; Lecture-style","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399796483001KXfj"
"NET317","Breakout session","300","A day in the life of an AWS WAF administrator","From sunrise alerts to sunset cost reports, the AWS WAF administrator’s day is never dull. Join us as we follow a fictional (but all-too-relatable) admin navigating setup, fine-tuning rules, building dashboards, and taming budgets - while outsmarting emerging threats before they bite. You’ll see how to adapt quickly to shifting traffic, uncover hidden risks, and make data-driven decisions without breaking the bank - or the application. Packed with tips, real-world examples, and a dash of bot traffic, this session turns the daily grind of web application protection into a well-architected adventure (edited)","Tzoori Tamam","Mandalay Bay","Monday 16:30 - 17:30","Amazon CloudFront; AWS WAF","Networking & Content Delivery; Advertising & Marketing; Professional Services; Software & Internet; Developer Community; Lecture-style","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399799647001KpAQ"
"API314","Breakout session","300","A decade of API Gateway: Architecting the future of API Management","As organizations integrate AI agents with existing systems, they must revisit strategies for API building, management, and governance. This session demonstrates how AWS services and features help implement effective API strategies throughout the complete lifecycle, highlighting key considerations at each stage and tools available to ensure successful implementation. We'll cover practical approaches in API design, development, and management to address the needs of both traditional users and AI agents. You will learn real-world implementation patterns and tools that ensure successful API management and governance in environments where agents interact alongside human developers.","Giedrius Praspaliauskas","MGM","Monday 13:30 - 14:30","Amazon API Gateway","Generative AI; Serverless; Application Integration; Data Scientist; Developer / Engineer; Solution / Systems Architect; Lecture-style","https://registration.awsevents.com/flow/awsevents/reinvent2025/event-catalog/page/eventCatalog/session/1753399769928001Ktuo"
